customer_id,age,gender,tenure,monthly_charges,total_charges,contract,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,churn
CUST_000001,52,Male,8,111.83,820.2,Month-to-month,Fiber optic,No,Yes,No,Electronic check,Yes,Yes
CUST_000002,42,Male,4,42.06,166.75,Month-to-month,DSL,No,No,Yes,Credit card,No,No
CUST_000003,54,Male,47,52.99,2806.31,Month-to-month,DSL,Yes,No,No,Mailed check,Yes,No
CUST_000004,67,Male,12,112.07,1263.09,Month-to-month,Fiber optic,No,Yes,No,Credit card,Yes,No
CUST_000005,41,Male,12,47.26,636.12,Month-to-month,DSL,No,Yes,No,Electronic check,Yes,No
CUST_000006,41,Female,4,116.27,402.8,One year,Fiber optic,No,No,No,Electronic check,Yes,Yes
CUST_000007,68,Female,11,114.66,1103.67,One year,Fiber optic,Yes,No,No,Bank transfer,Yes,Yes
CUST_000008,56,Female,49,76.45,3969.2,One year,Fiber optic,No,Yes,No,Electronic check,No,No
CUST_000009,37,Male,10,42.77,388.0,Month-to-month,DSL,Yes,No,No,Electronic check,Yes,Yes
CUST_000010,53,Male,72,74.92,5097.48,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,Yes,Yes
CUST_000011,38,Male,70,23.92,1491.74,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,Yes,No
CUST_000012,38,Female,3,38.16,108.72,Month-to-month,No,No internet service,No internet service,No internet service,Bank transfer,Yes,Yes
CUST_000013,48,Female,4,38.62,144.31,One year,No,No internet service,No internet service,No internet service,Bank transfer,Yes,No
CUST_000014,18,Female,47,67.85,3415.05,Month-to-month,Fiber optic,No,No,No,Electronic check,No,No
CUST_000015,19,Male,11,52.81,616.12,Month-to-month,DSL,Yes,No,No,Electronic check,Yes,No
CUST_000016,36,Female,1,96.03,109.14,One year,Fiber optic,Yes,No,Yes,Credit card,Yes,Yes
CUST_000017,29,Male,7,27.81,207.78,Month-to-month,No,No internet service,No internet service,No internet service,Electronic check,Yes,No
CUST_000018,49,Female,21,53.95,1199.17,Two year,DSL,No,No,No,Bank transfer,Yes,No
CUST_000019,31,Female,38,63.42,2550.37,Month-to-month,DSL,Yes,Yes,No,Credit card,No,No
CUST_000020,23,Female,3,40.11,134.15,Two year,DSL,Yes,Yes,Yes,Electronic check,Yes,No
CUST_000021,66,Female,2,71.62,134.48,Month-to-month,Fiber optic,No,Yes,No,Electronic check,No,Yes
CUST_000022,41,Male,61,66.84,3832.72,One year,Fiber optic,No,No,Yes,Credit card,Yes,Yes
CUST_000023,46,Female,33,45.91,1624.66,Month-to-month,DSL,No,No,No,Electronic check,Yes,No
CUST_000024,23,Female,21,26.75,516.03,Two year,No,No internet service,No internet service,No internet service,Electronic check,No,No
CUST_000025,36,Male,35,88.7,3488.23,Month-to-month,Fiber optic,No,No,Yes,Mailed check,Yes,Yes
CUST_000026,46,Male,13,50.1,658.1,Month-to-month,DSL,No,No,No,Electronic check,Yes,No
CUST_000027,27,Male,34,57.73,1845.12,Two year,DSL,No,No,Yes,Credit card,No,No
CUST_000028,50,Male,11,46.76,556.96,Month-to-month,DSL,Yes,No,Yes,Electronic check,Yes,Yes
CUST_000029,35,Male,6,83.18,470.98,Month-to-month,Fiber optic,Yes,No,Yes,Mailed check,Yes,No
